Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Anish Giri,159.8,0.3,6.2,9,5.0,163.3,0.07,2734,2744,347,4,5,3.6,9.67,0.35,8.19,0.12,0.4,0.22,156.9,162.1,2.0,3.0,2.66,93.41,0.12,67.03
David Navara,158.2,0.29,41.23,9,4.0,162.1,0.03,2668,2671,377,4,5,3.02,9.4,0.43,114.94,0.03,0.34,0.26,157.5,158.7,2.0,2.0,2.65,88.43,0.18,13210.42
Chithambaram VR. Aravindh,157.5,0.55,6.78,9,6.0,162.9,0.4,2730,2825,412,5,4,5.88,13.59,0.62,5.01,-0.01,0.71,0.36,152.6,163.6,3.0,3.0,4.97,184.63,0.38,25.12
Praggnanandhaa R,156.2,0.5,7.52,9,5.0,160.9,0.23,2752,2742,421,5,4,7.11,11.31,0.47,6.47,-0.07,0.37,0.67,159.5,152.1,3.0,2.0,4.51,128.0,0.22,41.9
Quang Liem Le,155.8,0.42,7.27,9,4.0,161.9,0.16,2739,2666,406,5,4,6.64,10.16,0.46,6.69,-0.1,0.68,0.08,149.7,163.3,2.0,2.0,3.74,103.25,0.21,44.73
Ediz Gurel,155.7,0.46,8.34,9,4.5,162.4,0.2,2621,2715,384,4,5,5.72,11.91,0.44,6.45,-0.1,0.24,0.64,162.8,150.1,2.5,2.0,4.17,141.88,0.2,41.58
Sam Shankland,153.9,0.51,58.17,9,4.0,152.1,0.54,2670,2674,427,5,4,10.63,12.61,0.4,97.72,-0.2,0.72,0.23,147.3,162.1,1.5,2.5,4.55,159.01,0.16,9550.13
Yi Wei,151.8,0.68,25.76,9,5.0,158.4,0.83,2758,2740,447,4,5,9.91,17.53,0.64,44.91,-0.31,0.5,0.83,159.6,145.6,3.0,2.0,6.11,307.24,0.41,2017.04
Vincent Keymer,148.7,0.81,8.72,9,4.5,146.1,0.91,2723,2705,495,5,4,6.89,14.67,0.53,6.39,-0.48,0.58,1.09,151.9,144.7,2.0,2.5,7.26,215.16,0.28,40.82
Thai Dai Van Nguyen,145.6,0.8,41.07,9,3.0,144.8,0.7,2674,2588,494,4,5,10.67,14.9,0.68,89.25,-0.65,0.66,0.92,151.8,140.6,2.0,1.0,7.24,221.95,0.46,7965.42
